Darija_Arabe,Arabizi,Arabe_Standard,Anglais
شكّ,chekk,شكّ,doubt
شكّ,chek,شكّ,doubt
شكّ,shek,شكّ,doubt
شكّ,shekk,شكّ,doubt
شكّ,chakk,شكّ,doubt
شكّ,chak,شكّ,doubt
شكّ,shak,شكّ,doubt
شكّ,shakk,شكّ,doubt
غنّا,ghnna,غنّى,sing
غنّا,ghna,غنّى,sing
غنّا,ghenna,غنّى,sing
غنّا,ghena,غنّى,sing
غنّا,ghanna,غنّى,sing
غنّا,ghana,غنّى,sing
نوا,nwa,نوى,intent
برّر,brrer,برّر,justify
برّر,brer,برّر,justify
برّر,berrer,برّر,justify
برّر,berer,برّر,justify
برّر,barrar,برّر,justify
برّر,barar,برّر,justify
برّر,barrer,برّر,justify
برّر,barer,برّر,justify
دافع,daf3,دافع,defend
دافع,daaf3,دافع,defend
دافع,dafe3,دافع,defend
دافع,daafe3,دافع,defend
زعم,z3m,زعم,dare
زعم,z3em,زعم,dare
زعم,z3am,زعم,dare
استراح,stra7,استراح,rest
استراح,strah,استراح,rest
حكم,7km,حكم,judge
حكم,hkm,حكم,judge
حكم,7kem,حكم,judge
حكم,hkem,حكم,judge
حكم,7kam,حكم,judge
حكم,hkam,حكم,judge
شارك,chark,شارك,participate
شارك,shark,شارك,participate
شارك,chaark,شارك,participate
شارك,shaark,شارك,participate
غسل,ghsl,غسل,wash
غسل,ghsel,غسل,wash
غسل,ghsal,غسل,wash
لاحض,la7d,لاحظ,observe
لاحض,lahd,لاحظ,observe
لاحض,la7ed,لاحظ,observe
لاحض,lahed,لاحظ,observe
خدّم,khddm,عمل,employ
خدّم,5ddm,عمل,employ
خدّم,5dm,عمل,employ
خدّم,khdm,عمل,employ
خدّم,khddam,عمل,employ
خدّم,5dam,عمل,employ
خدّم,5ddam,عمل,employ
خدّم,khdam,عمل,employ
خدّم,khddem,عمل,employ
خدّم,5ddem,عمل,employ
خدّم,5dem,عمل,employ
خدّم,khdem,عمل,employ
جمع,jm3,جمع,combine
جمع,jme3,جمع,combine
جمع,jma3,جمع,combine
لحّ,l77,لحّ,insist
لحّ,lh,لحّ,insist
لحّ,lhh,لحّ,insist
لحّ,la77,لحّ,insist
لحّ,lah,لحّ,insist
لحّ,lahh,لحّ,insist
لحّ,le77,لحّ,insist
لحّ,leh,لحّ,insist
لحّ,lehh,لحّ,insist
لحّ,l7,لحّ,insist
لحّ,la7,لحّ,insist
لحّ,le7,لحّ,insist
تلاح,tla7,قفز,jump
تلاح,tlah,قفز,jump
نقز,neqz,قفز,jump
نقز,negz,قفز,jump
نقز,neguez,قفز,jump
طيّب,tyyb,طبخ,cook
طيّب,tyb,طبخ,cook
طيّب,tayeb,طبخ,cook
طيّب,tayyb,طبخ,cook
طيّب,tayb,طبخ,cook
طيّب,tayyeb,طبخ,cook
طيّب,tyyeb,طبخ,cook
طيّب,tyeb,طبخ,cook
بكا,bka,بكا,cry
نعس,n3s,نام,sleep
نعس,n3es,نام,sleep
نعس,n3as,نام,sleep
فاق,fa9,استيقظ,wake up
فاق,faq,استيقظ,wake up
جمع,jm3,جمع,gather
جمع,jme3,جمع,gather
جمع,jma3,جمع,gather
نساحب,nsa7b,سحب,withdraw
نساحب,nsahb,سحب,withdraw
نساحب,nsahab,سحب,withdraw
نساحب,nsa7ab,سحب,withdraw
نساحب,nsa7eb,سحب,withdraw
نساحب,nsaheb,سحب,withdraw
حلّ,7ll,حلّ,resolve
حلّ,7l,حلّ,resolve
حلّ,hl,حلّ,resolve
حلّ,hll,حلّ,resolve
حلّ,7ell,حلّ,resolve
حلّ,7el,حلّ,resolve
حلّ,hel,حلّ,resolve
حلّ,hell,حلّ,resolve
حلّ,7all,حلّ,resolve
حلّ,7al,حلّ,resolve
حلّ,hal,حلّ,resolve
حلّ,hall,حلّ,resolve
خبر,khbr,أخبر,inform
خبر,5br,أخبر,inform
خبر,khber,أخبر,inform
خبر,5ber,أخبر,inform
خبر,khaber,أخبر,inform
خبر,5aber,أخبر,inform
ستلزم,stalzem,استلزم,imply
ستلزم,stalzm,استلزم,imply
تسلّف,tsllf,يستعير,borrow
تسلّف,tslf,يستعير,borrow
تسلّف,tsellef,يستعير,borrow
تسلّف,tselef,يستعير,borrow
تسلّف,tsallaf,يستعير,borrow
تسلّف,tsalaf,يستعير,borrow
سوّل,swwl,سوّل,question
سوّل,swl,سوّل,question
سوّل,sowwel,سوّل,question
سوّل,sowel,سوّل,question
سوّل,swwel,سوّل,question
سوّل,swel,سوّل,question
خاطر,khatr,خاطر,risk
خاطر,5atr,خاطر,risk
خاطر,5ater,خاطر,risk
سمح,sm7,سمح,permit
سمح,smh,سمح,permit
سمح,sme7,سمح,permit
سمح,smeh,سمح,permit
سمح,sma7,سمح,permit
سمح,smah,سمح,permit
سامح,sam7,سامح,forgive
سامح,samh,سامح,forgive
سامح,same7,سامح,forgive
سامح,sameh,سامح,forgive
قتارح,9tar7,اقترح,propose
قتارح,9tarh,اقترح,propose
قتارح,qtar7,اقترح,propose
قتارح,qtarh,اقترح,propose
قتارح,9tare7,اقترح,propose
قتارح,9tareh,اقترح,propose
قتارح,qtare7,اقترح,propose
قتارح,qtareh,اقترح,propose
قتارح,9tara7,اقترح,propose
قتارح,9tarah,اقترح,propose
قتارح,qtara7,اقترح,propose
قتارح,qtarah,اقترح,propose
حتافل,7tafl,احتفل,celebrate
حتافل,htafl,احتفل,celebrate
حتافل,7tafel,احتفل,celebrate
حتافل,htafel,احتفل,celebrate
حتافل,7tafal,احتفل,celebrate
حتافل,htafal,احتفل,celebrate
ضيّع,dyy3,ضيّع,waste
ضيّع,dy3,ضيّع,waste
ضيّع,dyye3,ضيّع,waste
ضيّع,dye3,ضيّع,waste
ضيّع,dyya3,ضيّع,waste
ضيّع,dya3,ضيّع,waste
ضيّع,daya3,ضيّع,waste
ضيّع,daye3,ضيّع,waste
غبر,ghbr,اختفى,disappear
غبر,ghber,اختفى,disappear
غبر,ghbar,اختفى,disappear
غبر,ghaber,اختفى,disappear
توقّع,tw993,توقّع,predict
توقّع,twq3,توقّع,predict
توقّع,twqq3,توقّع,predict
توقّع,twe99a3,توقّع,predict
توقّع,tweqa3,توقّع,predict
توقّع,tweqqa3,توقّع,predict
توقّع,twe99e3,توقّع,predict
توقّع,tweqe3,توقّع,predict
توقّع,tweqqe3,توقّع,predict
توقّع,tw93,توقّع,predict
توقّع,twe9a3,توقّع,predict
توقّع,twe9e3,توقّع,predict
نڭر,ngr,نڭر,complain
نڭر,ngor,نڭر,complain
نڭر,nguer,نڭر,complain
قبط,9bt,يقبض,catch
قبط,qbt,يقبض,catch
قبط,9bat,يقبض,catch
قبط,qbat,يقبض,catch
قبط,9bet,يقبض,catch
قبط,qbet,يقبض,catch
ڭبض,gbd,ڭبض,catch
ڭبض,gbed,ڭبض,catch
ڭبض,gbad,ڭبض,catch
ناض,nad,ناض,get up
ناض,naad,ناض,get up
داز,daz,داز,pass
داز,daaz,داز,pass
حبس,7bes,حبس,stop
حبس,hbes,حبس,stop
حبس,7bas,حبس,stop
حبس,hbas,حبس,stop
قيّد,9yyd,قيّد,note
قيّد,9yd,قيّد,note
قيّد,qyd,قيّد,note
قيّد,qyyd,قيّد,note
قيّد,9ayyad,قيّد,note
قيّد,9ayad,قيّد,note
قيّد,qayad,قيّد,note
قيّد,qayyad,قيّد,note
قيّد,9eyyed,قيّد,note
قيّد,9eyed,قيّد,note
قيّد,qeyed,قيّد,note
قيّد,qeyyed,قيّد,note
ولّف,wllf,اعتاد,used to
ولّف,wlf,اعتاد,used to
ولّف,wellef,اعتاد,used to
ولّف,welef,اعتاد,used to
ولّف,wllaf,اعتاد,used to
ولّف,wlaf,اعتاد,used to
ولّف,wallaf,اعتاد,used to
ولّف,walaf,اعتاد,used to
خلّط,khllt,مزج,mix
خلّط,5llt,مزج,mix
خلّط,5lt,مزج,mix
خلّط,khlt,مزج,mix
خلّط,khallat,مزج,mix
خلّط,5alat,مزج,mix
خلّط,5allat,مزج,mix
خلّط,khalat,مزج,mix
خلّط,khellet,مزج,mix
خلّط,5elet,مزج,mix
خلّط,5ellet,مزج,mix
خلّط,khelet,مزج,mix
ڭيّد,gyyd,يُضلِّل,mislead
ڭيّد,gyd,يُضلِّل,mislead
ڭيّد,gyyed,يُضلِّل,mislead
ڭيّد,gyed,يُضلِّل,mislead
حرڭ,7rg,يحرق,burn
حرڭ,hrg,يحرق,burn
حرڭ,7reg,يحرق,burn
حرڭ,hreg,يحرق,burn
حرڭ,7rag,يحرق,burn
حرڭ,hrag,يحرق,burn
حرق,7r9,يحرق,burn
حرق,7rq,يحرق,burn
حرق,hr9,يحرق,burn
حرق,hrq,يحرق,burn
حرق,7re9,يحرق,burn
حرق,7req,يحرق,burn
حرق,hre9,يحرق,burn
حرق,hreq,يحرق,burn
حرق,7ra9,يحرق,burn
حرق,7raq,يحرق,burn
حرق,hra9,يحرق,burn
حرق,hraq,يحرق,burn
ستاغل,staghl,استغل,exploit
ستاغل,staghell,استغل,exploit
ستاغل,staghel,استغل,exploit
ستاغل,staghall,استغل,exploit
ستاغل,staghal,استغل,exploit
كما,kma,كما,smoke
حدّر,7ddr,حّذر,warn
حدّر,7dr,حّذر,warn
حدّر,hddr,حّذر,warn
حدّر,hdr,حّذر,warn
حدّر,7edder,حّذر,warn
حدّر,7eder,حّذر,warn
حدّر,hedder,حّذر,warn
حدّر,heder,حّذر,warn
حدّر,7addar,حّذر,warn
حدّر,7adar,حّذر,warn
حدّر,hadar,حّذر,warn
حدّر,haddar,حّذر,warn
باس,baas,باس,kiss
باس,bas,باس,kiss
علن,3ln,أعلن,announce
علن,3len,أعلن,announce
علن,3lan,أعلن,announce
ختابر,khtabr,اختبر,evaluate
ختابر,5tabr,اختبر,evaluate
ختابر,5taber,اختبر,evaluate
ختابر,khtabar,اختبر,evaluate
ختابر,5tabar,اختبر,evaluate
تنفّس,tnffs,تنفّس,breathe
تنفّس,tnfs,تنفّس,breathe
تنفّس,tneffes,تنفّس,breathe
تنفّس,tnefes,تنفّس,breathe
تنفّس,tnaffas,تنفّس,breathe
تنفّس,tnafas,تنفّس,breathe
فات,fat,فات,exceed
فات,faat,فات,exceed
صادق,saad9,صادق,approve
صادق,saadq,صادق,approve
صادق,sad9,صادق,approve
صادق,sadq,صادق,approve
صادق,saade9,صادق,approve
صادق,saadeq,صادق,approve
صادق,sade9,صادق,approve
صادق,sadeq,صادق,approve
حتلّ,7tell,احتلّ,occupy
حتلّ,7tel,احتلّ,occupy
حتلّ,htel,احتلّ,occupy
حتلّ,htell,احتلّ,occupy
حتلّ,7tall,احتلّ,occupy
حتلّ,7tal,احتلّ,occupy
حتلّ,htal,احتلّ,occupy
حتلّ,htall,احتلّ,occupy
حرّر,7arrar,حرّر,free
حرّر,7arar,حرّر,free
حرّر,harar,حرّر,free
حرّر,harrar,حرّر,free
حرّر,7errer,حرّر,free
حرّر,7erer,حرّر,free
حرّر,herer,حرّر,free
حرّر,herrer,حرّر,free
حرّر,7arrer,حرّر,free
حرّر,7arer,حرّر,free
حرّر,harer,حرّر,free
حرّر,harrer,حرّر,free
بتاسم,btasm,ابتسم,smile
بتاسم,btasem,ابتسم,smile
بتاسم,btassem,ابتسم,smile
بتاسم,btassam,ابتسم,smile
بتاسم,btasam,ابتسم,smile
حفر,7fr,حفر,dig
حفر,hfr,حفر,dig
حفر,7fer,حفر,dig
حفر,hfer,حفر,dig
حفر,7far,حفر,dig
حفر,hfar,حفر,dig
حتارم,7tarm,احترم,respect
حتارم,htarm,احترم,respect
حتارم,7tarem,احترم,respect
حتارم,htarem,احترم,respect
هدّد,8dded,هدّد,threaten
هدّد,8ded,هدّد,threaten
هدّد,hdded,هدّد,threaten
هدّد,hded,هدّد,threaten
هدّد,i8dded,هدّد,threaten
هدّد,i8ded,هدّد,threaten
هدّد,ihdded,هدّد,threaten
هدّد,ihded,هدّد,threaten
هدّد,8addad,هدّد,threaten
هدّد,8adad,هدّد,threaten
هدّد,hadad,هدّد,threaten
هدّد,haddad,هدّد,threaten
هدّد,8added,هدّد,threaten
هدّد,8aded,هدّد,threaten
هدّد,hadded,هدّد,threaten
هدّد,haded,هدّد,threaten
لغا,lgha,لغا,cancel
خزن,khzn,خزن,store
خزن,5zn,خزن,store
خزن,khzen,خزن,store
خزن,5zen,خزن,store
خزن,khzan,خزن,store
خزن,5zan,خزن,store
نضّم,nddm,نظم,organize
نضّم,ndm,نظم,organize
نضّم,nddem,نظم,organize
نضّم,ndem,نظم,organize
نضّم,naddam,نظم,organize
نضّم,nadam,نظم,organize
نوّر,nwwr,نوّر,shine
نوّر,nwr,نوّر,shine
نوّر,nwwer,نوّر,shine
نوّر,nwer,نوّر,shine
نوّر,nwwar,نوّر,shine
نوّر,nwar,نوّر,shine
حلف,7lf,حلف,swear
حلف,hlf,حلف,swear
حلف,7lef,حلف,swear
حلف,hlef,حلف,swear
حلم,7lm,حلم,dream
حلم,hlm,حلم,dream
حلم,7lem,حلم,dream
حلم,hlem,حلم,dream
حلم,7lam,حلم,dream
حلم,hlam,حلم,dream
صرط,srt,بلع,absorb
صرط,sret,بلع,absorb
صرط,srat,بلع,absorb
بلوكا,bloka,يمنع,block
ستابق,stab9,استبق,anticipate
ستابق,stabq,استبق,anticipate
ستابق,stabe9,استبق,anticipate
ستابق,stabeq,استبق,anticipate
ستابق,staba9,استبق,anticipate
ستابق,stabaq,استبق,anticipate
اتهم,tta8m,اتهم,accuse
اتهم,ta8m,اتهم,accuse
اتهم,tahm,اتهم,accuse
اتهم,ttahm,اتهم,accuse
اتهم,tta8em,اتهم,accuse
اتهم,ta8em,اتهم,accuse
اتهم,tahem,اتهم,accuse
اتهم,ttahem,اتهم,accuse
غوّت,ghwwt,يصرخ,shout
غوّت,ghwt,يصرخ,shout
غوّت,ghwwet,يصرخ,shout
غوّت,ghwet,يصرخ,shout
غوّت,ghowwet,يصرخ,shout
غوّت,ghowet,يصرخ,shout
عيط,3ayet,يصرخ,shout
عيط,3ayat,يصرخ,shout
عيط,3ayt,يصرخ,shout
أتّر,2ttr,أثر,affect
أتّر,2tr,أثر,affect
أتّر,2atter,أثر,affect
أتّر,2ater,أثر,affect
أتّر,2etter,أثر,affect
أتّر,2eter,أثر,affect
أتّر,attar,أثر,affect
أتّر,atar,أثر,affect
رتّب,rttb,نظم,arrange
رتّب,rtb,نظم,arrange
رتّب,rtteb,نظم,arrange
رتّب,rteb,نظم,arrange
رتّب,ratteb,نظم,arrange
رتّب,rateb,نظم,arrange
رتّب,rattab,نظم,arrange
رتّب,ratab,نظم,arrange
عتاقل,3ta9l,اعتقل,arrest
عتاقل,3taql,اعتقل,arrest
عتاقل,3ta9el,اعتقل,arrest
عتاقل,3taqel,اعتقل,arrest
عتاقل,3ta9al,اعتقل,arrest
عتاقل,3taqal,اعتقل,arrest
نبح,nb7,نبح,bark
نبح,nbh,نبح,bark
نبح,nba7,نبح,bark
نبح,nbah,نبح,bark
نبح,nbe7,نبح,bark
نبح,nbeh,نبح,bark
خان,khan,خان,betray
خان,5an,خان,betray
تحاطّ,t7att,تحاطّ,bet
تحاطّ,t7at,تحاطّ,bet
تحاطّ,that,تحاطّ,bet
تحاطّ,thatt,تحاطّ,bet
ختالف,khtalf,ختالف,differ
ختالف,5talf,ختالف,differ
ختالف,khtalaf,ختالف,differ
ختالف,5talaf,ختالف,differ
ختالف,5talef,ختالف,differ
ختالف,khtalef,ختالف,differ
حتافض,7tafd,حتافض,keep
حتافض,htafd,حتافض,keep
حتافض,7tafed,حتافض,keep
حتافض,htafed,حتافض,keep
طار,tar,طار,fly
طار,taar,طار,fly
بان,ban,بان,appear
جرّ,jrr,جرّ,pull
جرّ,jr,جرّ,pull
جرّ,jarr,جرّ,pull
جرّ,jar,جرّ,pull
جرّ,jerr,جرّ,pull
جرّ,jer,جرّ,pull
هزّ,8zz,هزّ,lift
هزّ,8z,هزّ,lift
هزّ,hz,هزّ,lift
هزّ,hzz,هزّ,lift
هزّ,hezz,هزّ,lift
هزّ,hez,هزّ,lift
هزّ,8ezz,هزّ,lift
هزّ,8ez,هزّ,lift
رجع,rj3,رجع,return
رجع,rje3,رجع,return
رجع,rja3,رجع,return
طاح,ta7,طاح,fall
طاح,tah,طاح,fall
عرف,3rf,عرف,know
عرف,3ref,عرف,know
عرف,3raf,عرف,know
نسا,nsa,نسا,forget
وصف,wsf,وصف,describe
وصف,wsef,وصف,describe
وصف,wsaf,وصف,describe
ترجم,trjm,ترجم,translate
ترجم,tarjem,ترجم,translate
ترجم,terjem,ترجم,translate
ترجم,trjam,ترجم,translate
وعد,w3ed,وعد,promise
وعد,w3ad,وعد,promise
وعد,w3d,وعد,promise
قلّب,9llb,قلّب,search
قلّب,9lb,قلّب,search
قلّب,qlb,قلّب,search
قلّب,qllb,قلّب,search
قلّب,9elleb,قلّب,search
قلّب,9eleb,قلّب,search
قلّب,qeleb,قلّب,search
قلّب,qelleb,قلّب,search
قلّب,9allab,قلّب,search
قلّب,9alab,قلّب,search
قلّب,qalab,قلّب,search
قلّب,qallab,قلّب,search
حبّ,7bb,حبّ,love
حبّ,7b,حبّ,love
حبّ,hb,حبّ,love
حبّ,hbb,حبّ,love
حبّ,7ebb,حبّ,love
حبّ,7eb,حبّ,love
حبّ,heb,حبّ,love
حبّ,hebb,حبّ,love
عاش,3ach,عاش,live
عاش,3ash,عاش,live
عاش,3aach,عاش,live
عاش,3aash,عاش,live
سكن,skn,سكن,live
سكن,sken,سكن,live
سكن,skan,سكن,live
خلّص,khlls,خلّص,pay
خلّص,5lls,خلّص,pay
خلّص,5ls,خلّص,pay
خلّص,khls,خلّص,pay
خلّص,khalles,خلّص,pay
خلّص,5ales,خلّص,pay
خلّص,5alles,خلّص,pay
خلّص,khales,خلّص,pay
خلّص,khallas,خلّص,pay
خلّص,5alas,خلّص,pay
خلّص,5allas,خلّص,pay
خلّص,khalas,خلّص,pay
سدّ,sdd,سدّ,close
سدّ,sd,سدّ,close
سدّ,sedd,سدّ,close
سدّ,sed,سدّ,close
وقف,w9f,وقف,stand up
وقف,wqf,وقف,stand up
وقف,w9ef,وقف,stand up
وقف,wqef,وقف,stand up
وقف,w9af,وقف,stand up
وقف,wqaf,وقف,stand up
ستخدم,stkhdm,ستخدم,use
ستخدم,st5dm,ستخدم,use
ستخدم,stekhdem,ستخدم,use
ستخدم,ste5dem,ستخدم,use
ستخدم,stakhdam,ستخدم,use
ستخدم,sta5dam,ستخدم,use
ستخدم,stakhdem,ستخدم,use
ستخدم,sta5dem,ستخدم,use
ستالم,stalm,ستالم,receive
ستالم,stalem,ستالم,receive
فشل,fchl,فشل,fail
فشل,fshl,فشل,fail
فشل,fchel,فشل,fail
فشل,fshel,فشل,fail
فشل,fchal,فشل,fail
فشل,fshal,فشل,fail
سبّ,sbb,سبّ,insult
سبّ,sb,سبّ,insult
سبّ,sebb,سبّ,insult
سبّ,seb,سبّ,insult
سبّ,sabb,سبّ,insult
سبّ,sab,سبّ,insult
شكا,chka,شكا,complain
شكا,shka,شكا,complain
فضح,fd7,فضح,expose
فضح,fdh,فضح,expose
فضح,fda7,فضح,expose
فضح,fdah,فضح,expose
فضح,fde7,فضح,expose
فضح,fdeh,فضح,expose
عتادر,3tadr,عتادر,apologize
عتادر,3tader,عتادر,apologize
عتادر,3tadar,عتادر,apologize
عنّڭ,3nng,عنّڭ,hug
عنّڭ,3ng,عنّڭ,hug
عنّڭ,3nn9,عنّڭ,hug
عنّڭ,3n9,عنّڭ,hug
عنّڭ,3nnq,عنّڭ,hug
عنّڭ,3nq,عنّڭ,hug
عنّڭ,3nneg,عنّڭ,hug
عنّڭ,3neg,عنّڭ,hug
عنّڭ,3anna9,عنّڭ,hug
عنّڭ,3ana9,عنّڭ,hug
عنّڭ,3anaq,عنّڭ,hug
عنّڭ,3annaq,عنّڭ,hug
ندم,ndm,ندم,regret
ندم,ndem,ندم,regret
تعوّد,t3wwd,تعوّد,get used
تعوّد,t3wd,تعوّد,get used
تعوّد,t3wwed,تعوّد,get used
تعوّد,t3wed,تعوّد,get used
تعوّد,t3awwad,تعوّد,get used
تعوّد,t3awad,تعوّد,get used
تعوّد,t3awwed,تعوّد,get used
تعوّد,t3awed,تعوّد,get used
عطس,3tas,عطس,sneeze
عطس,3tes,عطس,sneeze
كحب,k7ob,كحب,cough
كحب,khob,كحب,cough
كحب,k7eb,كحب,cough
كحب,kheb,كحب,cough
أجّل,2ejjel,أجّل,postpone
أجّل,2ejel,أجّل,postpone
أجّل,ajjal,أجّل,postpone
أجّل,ajal,أجّل,postpone
أجّل,2ajjal,أجّل,postpone
أجّل,2ajal,أجّل,postpone
أجّل,2jjel,أجّل,postpone
أجّل,2jel,أجّل,postpone
تعاون,t3awn,تعاون,cooperate
تعاون,t3awen,تعاون,cooperate
تعاون,t3aawan,تعاون,cooperate
تعاون,t3awan,تعاون,cooperate
تبادل,tbadl,تبادل,exchange
تبادل,tbaadel,تبادل,exchange
تبادل,tbadel,تبادل,exchange
تبادل,tbaadl,تبادل,exchange
قاطع,9aat3,قاطع,boycott
قاطع,9at3,قاطع,boycott
قاطع,qaat3,قاطع,boycott
قاطع,qat3,قاطع,boycott
قاطع,9aate3,قاطع,boycott
قاطع,9ate3,قاطع,boycott
قاطع,qaate3,قاطع,boycott
قاطع,qate3,قاطع,boycott
قاطع,9aata3,قاطع,boycott
قاطع,9ata3,قاطع,boycott
قاطع,qaata3,قاطع,boycott
قاطع,qata3,قاطع,boycott
تطوّع,ttwwe3,تطوّع,volunteer
تطوّع,twe3,تطوّع,volunteer
تطوّع,ttowe3,تطوّع,volunteer
تطوّع,towe3,تطوّع,volunteer
تطوّع,tatawwa3,تطوّع,volunteer
تطوّع,tatawa3,تطوّع,volunteer
تطوّع,ttowwe3,تطوّع,volunteer
قولب,9oulb,قولب,dupe
قولب,qoulb,قولب,dupe
قولب,9ouleb,قولب,dupe
قولب,qouleb,قولب,dupe
تجنّب,tjnnb,تجنّب,avoid
تجنّب,tjnb,تجنّب,avoid
تجنّب,tjannab,تجنّب,avoid
تجنّب,tjanab,تجنّب,avoid
تجنّب,tjenneb,تجنّب,avoid
تجنّب,tjeneb,تجنّب,avoid
تجنّب,tjanneb,تجنّب,avoid
تجنّب,tjaneb,تجنّب,avoid
همل,8ml,همل,neglect
همل,hml,همل,neglect
همل,8mel,همل,neglect
همل,hmel,همل,neglect
همل,8mal,همل,neglect
همل,hmal,همل,neglect
تلاقا,tla9a,تلاقا,meet
تلاقا,tlaqa,تلاقا,meet
تجسّس,tjsses,تجسّس,spy
تجسّس,tjses,تجسّس,spy
تجسّس,tjassas,تجسّس,spy
تجسّس,tjasas,تجسّس,spy
نتاقم,nta9m,نتاقم,take revenge
نتاقم,ntaqm,نتاقم,take revenge
دفن,dfn,دفن,bury
دفن,dfen,دفن,bury
دفن,dfan,دفن,bury
غلب,ghlb,غلب,defeat
غلب,ghleb,غلب,defeat
غلب,ghlab,غلب,defeat
كان,kan,كان,be
بغا,bgha,بغا,would
قدر,9der,قدر,can
قدر,qder,قدر,can
قدر,9dr,قدر,can
قدر,qdr,قدر,can
ڭدّ,gdd,ڭدّ,can
ڭدّ,gd,ڭدّ,can
ڭدّ,guedd,ڭدّ,can
ڭدّ,gued,ڭدّ,can
ڭدّ,gedd,ڭدّ,can
ڭدّ,ged,ڭدّ,can
إمكن,imkn,إمكن,may
دار,dar,دار,make
خسّو,khsso,خسّو,must
خسّو,5so,خسّو,must
خسّو,5sso,خسّو,must
خسّو,khso,خسّو,must
خسّو,khesso,خسّو,must
خسّو,5eso,خسّو,must
خسّو,5esso,خسّو,must
خسّو,kheso,خسّو,must
خدا,khda,خدا,take
خدا,5da,خدا,take
شاف,chaf,شاف,look
شاف,shaf,شاف,look
حطّ,7tt,حطّ,set
حطّ,7t,حطّ,set
حطّ,ht,حطّ,set
حطّ,htt,حطّ,set
حطّ,7ett,حطّ,set
حطّ,7et,حطّ,set
حطّ,het,حطّ,set
حطّ,hett,حطّ,set
خلّا,khlla,خلّا,let
خلّا,5la,خلّا,let
خلّا,5lla,خلّا,let
خلّا,khla,خلّا,let
خلّا,khella,خلّا,let
خلّا,5ela,خلّا,let
خلّا,5ella,خلّا,let
خلّا,khela,خلّا,let
عطا,3ta,عطا,provide
خسّو,khsso,خسّو,shall
خسّو,5so,خسّو,shall
خسّو,5sso,خسّو,shall
خسّو,khso,خسّو,shall
خسّو,khesso,خسّو,shall
خسّو,5eso,خسّو,shall
خسّو,5esso,خسّو,shall
خسّو,kheso,خسّو,shall
بان,ban,بان,seem
تضمّن,tdmmen,تضمّن,include
تضمّن,tdmen,تضمّن,include
تضمّن,tdemmen,تضمّن,include
تضمّن,tdemen,تضمّن,include
تحرّك,t7rrek,تحرّك,move
تحرّك,t7rek,تحرّك,move
تحرّك,threk,تحرّك,move
تحرّك,thrrek,تحرّك,move
تحرّك,t7arrak,تحرّك,move
تحرّك,t7arak,تحرّك,move
تحرّك,tharak,تحرّك,move
تحرّك,tharrak,تحرّك,move
دار,dar,دار,turn
دار,daar,دار,turn
عتابر,3tabr,عتابر,consider
عتابر,3taber,عتابر,consider
خلّا,khlla,خلّا,allow
خلّا,5la,خلّا,allow
خلّا,5lla,خلّا,allow
خلّا,khla,خلّا,allow
خلّا,khella,خلّا,allow
خلّا,5ela,خلّا,allow
خلّا,5ella,خلّا,allow
خلّا,khela,خلّا,allow
تمنّا,tmenna,تمنّا,hope
تمنّا,tmena,تمنّا,hope
تمنّا,tmnna,تمنّا,hope
تمنّا,tmna,تمنّا,hope
نتج,ntej,نتج,produce
نتج,ntj,نتج,produce
بقا,b9a,بقا,stay
بقا,bqa,بقا,stay
شدّ,chdd,شدّ,hold
شدّ,chd,شدّ,hold
شدّ,shd,شدّ,hold
شدّ,shdd,شدّ,hold
شدّ,chedd,شدّ,hold
شدّ,ched,شدّ,hold
شدّ,shed,شدّ,hold
شدّ,shedd,شدّ,hold
توقّع,to99e3,توقّع,expect
توقّع,toqe3,توقّع,expect
توقّع,toqqe3,توقّع,expect
توقّع,twe99e3,توقّع,expect
توقّع,tweqe3,توقّع,expect
توقّع,tweqqe3,توقّع,expect
توقّع,twe99a3,توقّع,expect
توقّع,tweqa3,توقّع,expect
توقّع,tweqqa3,توقّع,expect
ضمن,dmen,ضمن,ensure
ضمن,dmn,ضمن,ensure
ضمن,dman,ضمن,ensure
هزّ,8ezz,هزّ,carry
هزّ,8ez,هزّ,carry
هزّ,hez,هزّ,carry
هزّ,hezz,هزّ,carry
عرض,3red,عرض,offer
عرض,3rd,عرض,offer
عرض,3rad,عرض,offer
دعم,d3em,دعم,support
دعم,d3m,دعم,support
دعم,d3am,دعم,support
هضر,hder,هضر,speak
هضر,hdr,هضر,speak
هضر,hdar,هضر,speak
هضر,8der,هضر,speak
دوا,dwa,دوا,speak
قاد,9aad,قاد,lead
قاد,9ad,قاد,lead
قاد,qaad,قاد,lead
قاد,qad,قاد,lead
بقا,b9a,بقا,remain
بقا,bqa,بقا,remain
وقف,w9ef,وقف,stand
وقف,wqef,وقف,stand
وقف,w9af,وقف,stand
وقف,wqaf,وقف,stand
وقف,w9f,وقف,stand
وقف,wqf,وقف,stand
وڭف,wgef,وڭف,stand
وڭف,wgaf,وڭف,stand
وڭف,wgf,وڭف,stand
قتارح,9tar7,قتارح,suggest
قتارح,9tarh,قتارح,suggest
قتارح,qtar7,قتارح,suggest
قتارح,qtarh,قتارح,suggest
قتارح,9tare7,قتارح,suggest
قتارح,9tareh,قتارح,suggest
قتارح,qtare7,قتارح,suggest
قتارح,qtareh,قتارح,suggest
طوّر,twwer,طوّر,develop
طوّر,twer,طوّر,develop
طوّر,towwer,طوّر,develop
طوّر,tower,طوّر,develop
