Darija_Arabe,Anglais
وقتاش غادي نتعشاو؟,When are we going to have dinner?
سمح ليا هذا الطلب بزاف عليا.,"Sorry, this request is too much for me."
لجو مامضمونش. ديرو صماطيكم عفاكم.,The weather is unpredictable. Please secure your belongings.
قبل من هاد الشي. كاندير منو مازاءل مرا مرا باش نبقا شاد الصنعا.,"Before that, I used to do it occasionally to keep up the skill."
شكونهاد لمرا؟,Who is this woman?
غادي ل طوكيو.,Going to Tokyo.
تجيب ليا شي حمال معا الستا دالنهار، عفاك؟,"Can you bring me a porter around six in the evening, please?"
اه، انا توريست.,"Oh, I am a tourist."
خاصنا نوجهوك لمدينا آخرا.,We need to direct you to another city.
واخا نزل ف الطريق؟,Even if I get off on the road?
حتال النص ديال أكتوبر غاع.,Even the text of October is gone.
فين كايتباعو الصيكان ديال لكوير؟,Where are leather bags sold?
فيا لحساسيا ديال الربيع.,I have spring allergies.
بغيت لحوت مقلي و لفريت، عفاك.,"I want fried fish and fries, please."
كاين شي فول ل طوكيو نهار الجمعا؟,Is there any foul (fava beans) in Tokyo on Friday?
غادي ناخد شوكولا شو.,I will take hot chocolate.
نقادو شي وقيتا بيناتنا باش نقيو ليكل بيت.,Lets set a time between us to clean the whole house.
لا، ماشفت حد حدايا.,"No, I didnt see anyone near me."
كارتوشا ديال لغارو لارك، عفاك.,"A pack of Marlboro cigarettes, please."
خاصني شهادا ديال لبوليس على ود لاسيرونص ديالي. وقتاش غادي توجد؟,I need a police certificate for my insurance. When will it be ready?
شي طوموبيل صغير، عفاك. بشحال كاتكريها ل نهار؟,"A small car, please. How much do you rent it for per day?"
كاينا. حتامن الدري الصغير يجواب عليه.,Its obvious. Even a little kid can answer it.
اه، مزيان.,"Oh, nice."
بغيتيني نعاود؟,Do you want me to repeat?
آخر واحد يقدر يكدب.,The last person who could lie.
ليك، إيلا قبلتي بيه؟,"Here, do you accept it?"
واخا نشوف لا كارط ديال الشراب، عفاك؟,"Can I see the drink menu, please?"
إينا خدما؟,Where do you work?
سلام. انا مشغول دابا راني ف اجتيماع.,"Hello. I’m busy right now, I’m in a meeting."
بغيت نمشي لمعرض. إينا طوبيس نشد؟,I want to go to the exhibition. Which bus should I take?
إيوا، ناخد جوج، عفاك.,"Alright, Ill take two, please."
شكرا على الإستقبال.,Thank you for the welcome.
بغيت الطبيب، دغيا.,"I need the doctor, quickly."
سبيسيال، عفاك.,"Special, please."
سمحلي. بغيت نمشي لحديقا ديال برونكس. فاياش نمشي ف ناضارك؟,Sorry. I want to go to the Bronx Park. Which direction should I take?
بشحال حتال لوطيل سي؟,"How much is it to the hotel, sir?"
غي لقاوه غادي نعلمك.,"Theyll find it, Ill let you know."
كاتعرف شي ديسكوطيك يقدرو يمشيو ليها لبنات بلاما يخافو؟,Do you know any nightclub where girls can go without being afraid?
شحال نقدر نجيب معايا من كيلو ديال لباغاج؟,How many kilograms of luggage can I bring with me?
شحال نقدر نجيب معايا من كيلو ديال لباغاج ف هاد لفول.,How many kilograms of luggage can I bring on this flight?
التنين.,The dragon.
لباسبور ديالك و الديكلاراسيو ديال الديوانا، عفاك. كاين شي حاجا غادي الديكلاريها؟,"Your passport and customs declaration, please. Is there anything you need to declare?"
كاينا شي حاجا بغيتي تشوفها؟,Is there something you want to see?
خرجو من شومبرغدا ف الصباح، عفاك.,"Leave the room tomorrow morning, please."
اتسنا مقابل مكتب الاستعلامات، عفاك.,"Wait in front of the information desk, please."
بغيت شي ريفيي، عفاك.,"I want a review, please."
غايب.,Absent.
تقريبا شهر، آ سيدي.,"Almost a month, sir."
كاينا شي صطاسيو ديال الافاج ديال الطوموبيلات؟,Is there a car wash station?
كاينا واحد الحفرا ف الباب القدامي لي جا ف ليمن.,There is a hole in the front door on the right side.
عندهم لماكلا؟,Do they have food?
نقدر نخلص ب الماركس الألماني؟,Can I pay with German marks?
علا شحال من عام تقدر تصوت ف اليابان؟,At what age can you vote in Japan?
واخا تعطيني شي تيكي مدوبل؟,Can you give me a double ticket?
واش هادا صوف حقيقي.,Is this real wool?
واخا نعيط ليك من بعد؟,Can I call you later?
بغيت نريزيرفي طابلا ل ربعطاش لواحد معا السبعا د لعشيا، عفاك.,"I want to reserve a table for fourteen people at 7 PM, please."
وقتاش كايحل و كايسد؟,When does it open and close?
بغيت شي كريم ديال لليل.,I want a night cream.
واخا دير ليا بابيي كادو؟,Can you wrap it as a gift for me?
لا شكرا، منقدرش. ف الصراحا، كانعرف ديجا واحد السيد.,"No thanks, I cant. Honestly, I already know someone."
فينا غار خاصني نبدل باش نمشي ل صوهو؟,Where is the station where I need to change to go to Soho?
بغيت شي دوا مجهد على ود الرواح.,I want strong medicine for joint pain.
واش خاصو يلبس اللبسا؟,Does he need to wear the outfit?
هادي التلاتا و ربع.,Its 3:15.
تقدر يكون ف برودواي معا السبعا؟,Could it be on Broadway at seven?
كاينا شي بلاصا ل هاد لليلا؟,Is there any place for tonight?
آش كايعني هادشي؟,What does this mean?
الناس لي مسافرين عاديين مايفوتوش عشرين كيلو.,People traveling normally dont exceed twenty kilograms.
بغيت نخلص الفاكتورا ديالي.,I want to pay my bill.
بغيت نصيفط لفاكتورات ديال الإحتياجات الخاصا ديالي، عطيني عفاك لادريسا و سميت السيد لي مكلف ب هادشي.,"I want to send the invoices for my special needs, please give me the address and the name of the person in charge of this."
ملي نجي لمرا الجايا، غادي نرجع ضارورو. غادي تنقص ليا؟,"When I come next time, I will definitely return. Will you give me a discount?"
واخا طلبو ليا؟,"Okay, should I ask for it?"
اه، راكايوجد لمتيحانات ديال الدخول ل جامعا.,"Oh, he is preparing for the university entrance exams."
صعيب علينا نهدرو ب لونغلي مزيان.,Its hard for us to speak French well.
اه، نهار الدكرى ديال القنبلا الدريا و نهار الدكرى.,"Ah, the anniversary of the atomic bomb and the anniversary."
ماخاصهمش يشوفو هاد النوق ديال لباراميج.,They shouldnt watch these kinds of programs.
إينا فيلم خارج جديد و مشهور هاد لوقيتا؟,Which new and popular movie is out right now?
واو داز عام كولو؟ لوقت كايدوز دغيا. ضاروري مانرجع. قوليا غي فين و معاياش.,"Wow, a whole year passed? Time flies. I definitely need to come back. Just tell me where and with whom."
عندك فحال هادي ف نفس لموديل و يكون فيها الطالون؟,Do you have something like this in the same model but with a heel?
بغيت شي تريكو ل ولد عندو عشر سنين.,I want a sweater for a boy who is ten years old
يكون باقي حال شي ريسطورو هاد لوقيتا؟,Is there any restaurant still open at this time?
نقدر نغلس فين ما بغيت؟,Can I stay wherever I want?
سمحليا، برزطتك.,"Sorry, I bothered you."
سمح ليا راك نسيت رقم. عطيتك عشرين ديال الدولار.,"Sorry, I forgot the number. I gave you twenty dollars."
كانتسنا غي وقتاش نشوفك.,Im just waiting to see you.
وصلني ل ابي رود، عفاك.,"Take me to Abbey Road, please."
غي هادشي لي بغيت.,Just this is what I want.
واخا تصيفط ليا شي حد دابا؟,Can you send someone to me now?
جيب ليا لفطور، عفاك.,"Bring me breakfast, please."
ديرتي تسافيرا ماكاتنساش.,You had an unforgettable trip.
تقدر تقوليا بشحاك تقريبا؟,Can you tell me approximately how much?
شكرا. السلام، سمحلنا تعطلنا عليك.,Thank you. Sorry for keeping you waiting.
اه، والكن من واحد الناحيا را صعيبا.,"Ah, but on one side, its difficult."
بغيت أحسن بلاصا عندكم، عفاك.,"I want the best spot you have, please."
انا متأكد ريسيرفيت.,I’m sure I reserved.
طيليغرام باقي جديد، عفاك.,"Telegram is still new, please."
راني دخلت البوربوار ف لحساب.,I included the tip in the bill.
لوطيل، عفاك.,"The hotel, please."
طوكيو زيرو تلتميا وتنينو تلاتين واحد وتسعين تمنيا وخمسين خمسة وتلاتين، السيدة هارادا.,"Tokyo 032915835, Mrs. Harada."
صوص فرنسي، عفاك.,"French sauce, please."
وصلني لمطار آ، عفاك.,"Take me to Airport A, please."
انا نجيبو ليك، لا بغيتي تسنا هنايا.,I’ll bring it to you if you want to wait here.
حنا هنايا غي نهار واحد.,We are here for just one day.
بغيت الصابون.,I want the soap.
بغينا لعبو شي طرح ديال التينيس. واش كاينين لي كايعلمو هنايا الناس؟,We want to play some tennis. Are there people here who teach?
راسي ضارني.,My head hurts.
واخا توريني حوايج الدراري الصغار، عفاك.,"Okay, show me kids stuff, please."
شي ريسطورو زوين تنصحني بيه هنايا؟,Any good restaurant you recommend here?
باليزا كحلا كبيرا.,A big black suitcase.
واقلا غلطت ف النمرا.,Maybe I dialed the wrong number.
ل تلاتا. السميا، عفاك.,"Tuesday. The names, please."
واقتاش كاضن بلي غادي يولي مزيان؟,When do you think it will get better?
مزيان لي تلاقيتك هنايا.,Its nice to meet you here.
جيت هنايا ندوز لعوطلا ديال الصيف.,I came here to spend the summer vacation.
بغيت نشري تدكار ل صحابي.,I want to buy a souvenir for my friends.
عجباتني لماكلا.,I liked the food.
نقدر ناخدهم دابا؟,Can I take them now?
كيفاش كاتخدم هاد الفرفارا؟,How does this fan work?
نقدر نغلس حداك؟,Can I sit next to you?
شمن ماكلا كاتجي معاه؟,What food goes well with it?
باقي معرفتش لعنوان ديالي. ولكن عوال نمشي ل شي وطيل ف سا فرانسيسكو.,I still dont know my address. But I plan to go to a hotel in San Francisco.
الدري الصغير لي لور ماخلاني غع نعس. واخا تهدر مهاه، عفاك؟,The little kid in the back didn’t let me sleep. Can you please talk to him?
ف أغلبيات الأوقات، غادي تقولب.,"Most of the time, youll be deceived."
ضاراني يدي.,My hand hurts.
لا، غير دور على ليسار. هالديباناج. تما. سير في هاد الطريق لي تما. ياللاه، وقف هنا.,"No, just turn left. Theres the tow truck. Over there. Go on that road over there. Come on, stop here."
نزل ف لمحطا ديال فيچطوريا. و شد الخط ديال إيست ويست.,He got off at Victoria Station and took the EastWest line.
مقطع. غي زيد نقص.,A section. Just adjust.
شحال ديال الوقت من هنا ل اليابان؟,How much time from here to Japan?
لا، غلس ف كرسي و تسنى، عفاك. انا راجع.,"No, sit on the chair and wait, please. Ill be back."
فين نقدر نبدل الطوموبيل؟,Where can I exchange the car?
عندي لحساسيا ديال ل أسبيرين.,I am allergic to aspirin.
نعاونك إيلا كنتي كاتقلب على شي حاجا ف شكل؟,I can help you if youre looking for something specific?
نشوف الطوموبيل؟,Shall we see the car?
نتلاقاو ف الريسطو.,Well meet at the restaurant.
عندك تريبلي ديال اليفر ديالي.,You have my livers trouble.
يكون فيه تقريبا ميترو و سبعين و قرع.,He is about 1.70 meters tall and bald.
واخا ترسم ليا خريطا، عفاك؟,"Can you draw me a map, please?"
هاد لجاو غي ديال لبيرا.,These are just for beer.
واخا تجيب ليا لفطور دابا؟,Can you bring me breakfast now?
ها لبيرمي ديال آنطيرناسيونال.,Here is the international driving license.
بغيت شي كريم ديال ليدين.,I want a hand cream.
واخا تكتب لعنوان ديالك هنايا؟,Can you write your address here?
سمحلي، عامر هاد ليلا. إيلا بغيتي كاينين شي تيكيتات ل غدا في العشية.,"Sorry, its full tonight. If you want, there are some tickets for tomorrow afternoon."
هاد لكاس ديال الشراب نقدر نديرو ف لماكينا ديال لماعن؟,Can we put this glass in the dishwasher?
واش مجهدين؟,Are you doing well?
واع، يخ.,"Okay, bro."
طاحت ليا زوهاغا غي هنايا.,I dropped my lighter right here.
خاصني نبدل ف لفول ديلطا إيرلاين ميتينو خمسين.,I need to change the Delta Airlines flight to 8:50.
واقيلا قصت شي عشبا ساما.,Maybe she ate some poisonous herb.
عندك شي بلاصا ف اللوج؟,Do you have a spot in the accommodation?
واخا، آسيدي. غي تسنا ف الشومبر ديال حتا يجي طبيب.,"Alright, sir. Just wait in the room until the doctor comes."
خليت صاكي هنايا، و دابا غبر.,"I left my bag here, and now its gone."
بغيت لخص.,I want a haircut.
واخا. معاياش بغيتي تريزيرفي؟ شحال من واحد؟,"Okay. With me, what do you want to reserve? How many people?"
خاسك تشد ليسر.,You need to turn left.
شنو كاتعرف على هاد شي؟,What do you know about this?
دابا، منين خاصني نخرج باش نمشي ل كارنيجي هول؟,"Now, when should I leave to go to Carnegie Hall?"
تغريسيت ف لبحر ديال ويمانالو. اجي دابا عفاك.,"""I got stuck in the sea of Wimanalo. Come now, please."""
شنو باليك ف ميات دولار؟,What do you think about a hundred dollars?
ممكن ندخل ل كور ديال تينيس؟,Can I enter the tennis court?
بغيتو مغطي.,You want it covered.
بغيت تعرض عليك لغدا.,I want to invite you to lunch.
نقدر نخلص ف الطابلا؟,Can I pay at the table?
فين شفتيه اخر مرا؟,Where did you see him last time?
عطيني الساروت ديال التييو.,Give me the faucet key.
نسيت ساعتي ف التران.,I forgot my watch on the train.
نعم، آ سيدي. واحد الشوييا. هاك.,"Yes, sir. Just a little. Here you go."
باقي ماوصلش؟,Hasnt he/she/it arrived yet?
عندي الطيرا معا الطناش معاياش خاصني نخرج من هنا؟,"I have the bird at twelve, should I leave from here?"
كاني الصهد هاد الصباح، ياك؟,"It feels hot this morning, right?"
واه، صراحا. مفهمت تا حاجا من لهضرا لي كايهضرو بيها الناس هنا.,"Wow, honestly. I didnt understand anything from the way people here are speaking."
صيفط ليا لابيلانص، عفاك.,"Send me the invoice, please."
كاين شي بلايص معروفين؟,Are there any famous places?
بغيت نعاود لا كارط ديالي.,I want to renew my card.
وريني فين كاين انا دابا ف هاد لخريطا، عفاك؟,"Show me where I am on this map, please?"
اه، ولكن ماتعجبنيش الحلاوا.,"Oh, but I dont like sweets."
الحكوما دعمات الصناعات.,The government supported industries.
واخا، خليني نفكر. بزاف عليا.,"Okay, let me think. Its too much for me."
شمن ماكلا غادي نتغداو بيها هاد النهار؟,What food are we going to have for lunch today?
واقيلا، كتر من خمسين عام.,"Probably, more than fifty years."
را التلفازا و ها التيليكوموند.,Here is the TV and the remote.
سمحليا، ولايني سمحليا خاصك تخليه عندك.,"Sorry, but you have to keep it with you."
كمل نيشان حتا توصل ل هوب سترييت.,Go straight until you reach Hope Street.
بغيت نشري هادا.,I want to buy this.
ها الساريت و ها لكونطرا.,Here are the keys and the contract.
وخا نمشي لبالصت لفيمور؟,Should I go to the post office or the pharmacy?
واخا تصيفط ليا طاكسي ل تلاتاو عشرين، براون ستريت؟,Can you send me a taxi to 23 Brown Street?
ما طلبناش هادشي.,We didnt ask for this.
واحد لكاس ديال الشومباني، عفاك.,"A glass of champagne, please."
إيوا، علاين ربوع ساعا على رجلينا من هنا.,"Well, about a quarter of an hour on foot from here."
شي طاسا وحدا خرا، عفاك.,"Another cup, please."
شحال السن لأدنى باش الديرو؟,What is the minimum age to do it?
بغيت نريزيرفي عندكم دي شومبغ.,I want to book a room with you.
عدك خرائط مفهومين ديال لمدينا؟,Do you have clear maps of the city?
شنو باليك ف شي براسلي هووا هاداك يجي معاه؟,"What do you think about a bracelet, would that go with it?"
فين كاينين مواد التجميل؟,Where are the cosmetics?
واخا دوز ليا قسم الصاديرات عفاك؟,"Okay, transfer me to the exports department, please?"
سمح الباقي ديالي ناقص، واخا تقلب؟,"Excuse me, my change is short; can you doublecheck?"
إيلا كان ممكن، كنفضل ماتحيدش الضرسا.,"If possible, I’d prefer not to remove the tooth."
شكون كاين ف الجبل ديال سانسيناتي ريدس؟,Who is in the Cincinnati Reds mountain?
شي قهوا ب لحليب صغيرا، عفاك.,"A small coffee with milk, please."
بقات لينا ضربا وحدا، جبنا جوج.,We have one hit left; we got two.
لكلوب ديال سابطروبيكانا مزيان. ك ايبقا حال تال الجوج د الصباح. و كايعيطو ليك على طاكسي ملي كاتبغي تمشي.,"The Tropicana club is good. It stays open until 2 a.m., and they call a taxi for you when you want to leave."
لموراهيقين ديال اليابان شحال عزيزا عليهم لا مود.,Japanese teenagers really love fashion.
ماغاديش ندير لفلاش.,I wont use the flash.
قلب روايد؟,Flip the tires?
يالاه بديت كانتعلم. هادشي صعيب.,I just started learning. This is hard.
منين كايطلعو للي مسافرين ف جابان ايرلاين ميتينو ربعين؟,Why do passengers board Japan Airlines 40 minutes early?
وقتاش كايوصل التران ل سانديييغو، عفاك؟,"When does the train arrive in San Diego, please?"
كنت شحال هادي، ديما كانكمي.,I used to smoke all the time.
طلعت ف تران آخر.,I boarded the last train.
واخا تعطيني تيكي ديال البريد ديال الطييارا؟,Can you give me the plane ticket?
شحال باغي تخلص ليه؟,How much do you want to pay him?
مابغيتوش حار.,I dont want it spicy.
وقتاش عندك الطيارا ل سان فلانسيسكو؟,When is your flight to San Francisco?
ملقيتش هاد لخرجا.,I didnt find this outing.
بغيت خمسين غرام من هاد للحم، عفاك.,"I want fifty grams of this meat, please."
عندك ل بييي ديال الرجوع ل اليابان؟,Do you have the return ticket to Japan?
توريني عفاك كيفاش كانعيتطو؟,"Show me, please, how to call?"
بغيت شي لون آخر.,I want another color.
مخاصكش تبع جوج ديال لرانب.,You shouldnt chase two rabbits.
انا متافق معاك، نشرط تاريخ الصلاحية يكون مضمون.,"I agree with you, we should ensure the expiration date is reliable."
واخا تاخد ليا واحد لبيي، عفاك؟,"Can you get me a ticket, please?"
قوله ب شوييا.,Speak slowly.
منقيش.,I cant.
بعيت ندرب طليلا على لودج ديلك.,I went to knock lightly on your lodge.
بغيت نريزيرفي باش نلعب لغولف غدا.,I want to book to play golf tomorrow.
عندكم لحلوا. مصاوبينو نتوما.,Do you have sweets? Did you make them yourselves?
غادي تقلب حتا هاد الصاك؟,Are you going to search this bag too?
بغيت الشمبوان.,I want the shampoo.
عندك الصح. ف لغتنا، ساكانا، كاتعني لحوت، جايا من ساك، ولا ساكي، و نا، يعني حوت كايتكال معا الساكي.,"Youre right. In our language, ""sakana"" means fish, derived from ""sak"" or ""saki,"" and ""na,"" meaning a fish eaten with the saki."
بزربا، عفاك.,"Quickly, please."
واخا الدوز عليا ف لوطيل، عفاك؟,"Okay, pass by the hotel for me, please?"
غادي يكون نهار الجمعا تلاتا و عشرين.,It will be on Friday the 23rd.
منيمتا ضارك راسك؟,Since when does your head hurt?
بغيت نغلس ف لوركيستر.,I want to play in the orchestra.
ماعرفتش كيفاش غادي نعمل هاد الورقا.,I dont know how Im going to handle this paper.
كانضن، جرب شي لون فتح من هاكا.,"I think, try a lighter color than that."
فينا طاج كاينين صبابط لعيالات؟,Where can I find womens shoes?
تحت من لكرسي، للي مقابل معاك.,"Under the chair, the one facing you."
حتالين كايبقا حالا الحانوت الشامل؟,Until when does the general store stay open?
ماعندك لاش تشكرني.,You dont need to thank me.
انا ف وطيل هيلطون.,I am at the Hilton Hotel.
كنحس براسي فشكل فيا التقيا.,"I feel strange, I feel nauseous."
هادشي بزاف على شنو كنت عوال نخلص.,This is way more than I expected to pay.
بغيت ناخد رانديفو معا لخمسا د لعشيا هاد النهار.,I want to book an appointment for five in the evening today.
كاين شي كوافور ف لوطيل؟,Is there a hairdresser in the hotel?
معاياش غدا ف الصباح كاتاجمعو حوايج لغسيل؟,Are you gathering the laundry tomorrow morning?
هادا ياقوت زرق. عندنا غي بروش وحدا من هاد النوع، حتا انا كايعجبوني بزاف هاد لعلالق. تجربو؟,"This is blue sapphire. We only have one brooch of this type, I also really like these accessories. Want to try it?"
قوليا ل أتمنا من بعد، عفاك.,"Tell me later, please."
فين كايدي؟,Where is Kaidi?
والايني غادي نتلاقاها معا الجوج.,"Actually, I will meet her at two."
جيت باش نتقيد.,I came to register.
عاود ليا رجلين ديال السروال، بلاما تقلبو، عفاك.,"Turn the pants inside out for me, please, without flipping them."
بغيت نشوف أحسن لموديلات عندكم.,I want to see your best models.
لا مكليتش هادشي.,I didnt eat this.
هاد الطومبيل غادي ل إيدينبره؟,Is this car going to Edinburgh?
هاري، كاين فاش نعاونك؟,"Harry, is there anything I can help you with?"
معا لاتلاتا.,Together forever.
اه، عمر هاد لورقا.,"Oh, Omar, this paper."
تكوي هاد السروال، عفاك؟,"Can you iron these pants, please?"
حديقة الحيوانات باش بعيد من هنا تلات شوارع.,The zoo is three streets away from here.
واش صوف ديال بصح؟,Is it real wool?
شحال خاصني نخلص على لباغاج للي زايد عندي؟,How much do I need to pay for the extra luggage?
شنو هادشي؟,What is this?
عجني لحال ملي هدرنا على غاع النقط لمهما و لقينا حلول. مانساش ليك هاد لمعروف.,I appreciate how we discussed all the important points and found solutions. I wont forget this favor.
بغيت شي غيد .,I want some guidance.
إينا صبيطار غادي يديوه؟,Which hospital are they taking him to?
إيلا نقصتي ليا، ناخد حتا هادا.,"If you shortchange me, Ill take this one too."
سميتي كيمورا. بغيت نلغي الريزيرفاسيو ديالي ديال نهار الجمعا.,My name is Kimura. I want to cancel my reservation for Friday.
غلس.,Ignore.
فين كايتباع التيكيت ديال ماتش ديال بيزبول؟,Where are baseball game tickets sold?
أوو، سمحليا. كان واحد لمشكل و قاديناه. واخا تسنا واحد نص ساعا؟,"Oh, sorry. There was an issue, and we resolved it. Can you wait for half an hour?"
سمحلي. فين جات لبانكا؟,Excuse me. Where is the bank?
وريني لوراق ديالك؟,Show me your papers?
وريني كيفاش نخدم التيليفون، لله يجازيك بيخير.,"Show me how to use the phone, please."
شوف. وا على ماغزا شحال كبيرا. جبتي معاك بزاف دلفلوس واقيلا.,"Look. Wow, what a big suitcase. You probably brought a lot of money with you."
بغيت شي بلاصا ف لوج.,I want a place in the lodge.
عجبني. غادي ناخدو.,I like it. Ill take it.
فيناهوما أصوار لمدينا؟,Where are the walls of the city?
انا راجع.,Im coming back.
بغيت شي حاجا غلض من هاكا، عفاك.,"I want something bigger than this, please."
ماكاينش الصابون.,There is no soap.
و من بعد؟,And then?
ل سا فرانسيسكو، عفاك.,"San Francisco, please."
شنو هادشي؟,What is this?
فين كاينا البلاصا ستين ايه؟,Where is place 60 located?
بشحال بعيد من لمحطا؟,How far is the station?
اه. ساكن ف ألفو متينو ربعاوتلاتين، شارع الجييوس.,"Yes. I live in Alfo Metino 34, Jiayous Street."
ولدي طاح.,My son fell.
اه، عندي حصا خاويا معا الجوج و وحدا خرا معا الربعا.,"Oh, I have an empty appointment at two and another one at four."
وقتاش نقدر نمشي؟,When can I go?
كاين شي ميطرو كايدي ل سيفيك سانتر؟,Is there a metro that goes to the civic center?
فينا جناح؟,Where is the wing?
ها كاوكاو ديالك.,Here is your peanuts.
صراحا، عجبوني بجوج.,"Honestly, I liked both."
بدون شك. راهم جوج بالز و صاك، خلي عندك لورقا، عفاك.,"No doubt. They are two bags and a sack, keep the paper with you, please."
بغيت لفا بلو، عفاك.,"I want the blue one, please."
فهمت.,Understood.
"""حنا ف موسم ل """"أوبون"""" دابا.""","""We are in the au bon season now."""
نمشيو نعومو هاد لعشييا؟,Shall we go swimming tonight?
عارف شنو هوما لحفلات للي كاينين ف لمدينا هاد السيمانا؟,Do you know what events are happening in the city this week?
غادي نعيط.,I will call.
صاحبي ضاراه لمعدا. عندك ليه شي حاجا خفيفا على لمعدا؟,My friend has a stomachache. Do you have something light for the stomach?
ميتينو حضاش ربعاوتلاتين تلاتاوتمانين تلاتين زيرو زيرو.,213 34 83 30 00.
جوج بلايص حدا لغلسا اللولا، عفاك.,"Two seats next to the first table, please."
نعمرو؟,Shall we fill?
رحلا رقم سبعا دايرا روطار ديال ساعتين.,Flight number seven is delayed by two hours.
بغيت نشوف المباني التاريخية.,I want to see the historical buildings.
بغيتي تخلص دابا؟,Do you want to pay now?
دخلات الطوموبيل من حدا الدورا.,The car entered near the roundabout.
غادي نصيفطو السيكيريتي.,We will send security.
سخون بزاف.,Very hot.
جاي من البرطقيز.,Coming from Portugal.
ملي شربت لعاصير للي عطاوني، مابقيت عاقل على والو. ملي فقت، مالقيتش بزطامي و صاكي.,"When I drank the juice they gave me, I couldnt remember anything. When I woke up, I couldnt find my wallet and bag."
إيلا بغيتي، ز يد لفطور ديال النغليز.,"If you want, add the English breakfast."
ضاع ليا بزطامي.,I lost my wallet.
بغيت نكري بوغييا.,I want to rent a buggy.
واخا تحط شوية صرف، عفاك؟,"Can you put some change, please?"
سباغيتي بولونيز، عفاك.,"Spaghetti Bolognese, please."
بغيت واحد ل بيرا، عفاك.,"I want a beer, please."
بغيت نمشي ل باغي، خاصني نبدل التران؟,"I want to go to Baghie, do I need to change trains?"
إينا وقيتا مناسباك؟,When is it convenient for you?
واخا تعطيني ورقا ديال الدوا؟,Can you give me a prescription?
هاد لبواطا كاطلق لموسيقا.,This box plays music.
فيناهوما لبلايص الزوينين؟,Where are the nice places?
بغيت واحد آخر.,I want another one.
كاينا شي دويرا لمدينا بلكار؟,Is there a city tour by car?
الريزو ديالناكبير و مفتوح لطلباتكم.,Our network is large and open to your requests.
أول هدف ف هاد لموسم.,The first goal of this season.
معاياش غادي نبداو؟,What should we start with?
تاحاجا ب النسبا ليا، شكرا.,"Nothing for me, thank you."
يالاه ندربو طليلا.,Lets take a stroll.
تفكرت دابا. تعشينا كاملين.,I just remembered. We all had dinner together.
واخا، آ سيدي. ف طاي عاديا عندنا عطارد، مزيان؟,"Alright, sir. In a normal tea, we have Mercury, okay?"
إينا الطريق الاكسبريس؟,Where is the expressway?
تكوانسات ليك لعصبا.,You lost your temper.
حنا طايرين دابا فوق جوسيميتي ناشونال بارك.,We are flying now over Yosemite National Park.
كاينا شي حاجا ل دراري الصغار؟,Is there something for the kids?
لقيتو ف السويقا ديال البال.,I found it in the thrift market.
انا مسافر دابا.,I am traveling now.
ساليت ماكلتي، غي هز لبلاطو، حشاك.,"I finished my meal, just take the tray, excuse me."
غادي نكري هادي، معاها لاسيرونس.,"I will rent this one, with insurance."
واش ل سيدني؟,Is it for Sydney?
نمشي بدجين و سبرديلا؟,Should I go in jeans and sneakers?
اه، على حساب لأرصاد الجويا. السيمانا كولها غادي يكون لجو زوين.,"Oh, according to the weather forecast, the whole week will have nice weather."
وريني شي صباعيات، عفاك.,"Show me some finger foods, please."
عيط ليا فياقني، عفاك.,"Call me to wake me up, please."
دور عل ليمن ديال الزنقا.,Turn right on the street.
هدر بجهد، عفاك.,"Speak clearly, please."
واخا تجيب ليا ليزيكوطور، عفاك؟,"Can you bring me the headphones, please?"
داب.,Now.
خاصك تواعدني بلي غادي ضرب لكورا، ماشي انا، صافي؟,"You need to promise me that youll kick the ball, not me, okay?"
هوت دوغ صغير و كوكا كبيرا، عفاك.,"A small hot dog and a large Coke, please."
بشحال بعيد؟,How far?
من تيفاني. وخا هاكا، نمشيو ري نخضرو عويناتنا.,"Im Tiffany. Anyway, lets go refresh our eyes."
يالاه طور لفيلم و خرجو، عفاك.,"Hurry up and finish the movie, please."
واخا نتسلف لحوايج؟,Can I borrow things?
كانضن نقدرو نديرو، الله يحفضك.,"I think we can do it, God bless you."
لخطأ ديالي. فين و فين باش كانتشاوفو.,My mistake. Its been a while since we last saw each other.
من إينا كوير مصاوبا هاد الباليزا؟,Where is this suitcase made?
بشحال ب الطيارا؟,How much is the plane ticket?
هاد لموص بان ليا مانقيش. واكا تعطيني شي واحد آخر؟,This banana seems unripe to me. Can you give me another one?
بغيت شي طربوش.,I want a fez.
ماشي بزاف باش شريت هادشي، واخا تبدلو ليا بهادا؟,"Not much since I bought this, but can you exchange it for this one?"
واقيلا بصاح، والايني مانضمن ليك والو.,"Maybe its true, but I cant guarantee you anything."
رادي نمشي لوطيل.,I’m going to the hotel.
مايمكنش ليك.,You cant.
واقيلا راه صريح، ولايني مامتافقش معاه.,"Maybe he’s honest, but I don’t agree with him."
واخا تحل شي قرعا د الشراب؟,Can you open a bottle of alcohol?
نقدر نبقا تلتييام؟,Can I stay for three days?
واش هادي هيا طريق لمحطا لمركزيا؟,Is this the way to the central station?
اه. بغيت نجرب لحوت لحمر، ولايني واش حار؟,"Yes. I want to try the red fish, but is it spicy?"
بغيت لي غولوغ.,I want a screwdriver.
راه فيه واقي الشمس؟ شهو هيا الحمايا دياله؟,Does it have sunscreen? What is its protection level?
واخا تاخد بعين لعتبار الشريط ديال لخلاص؟,Even if you take the payment receipt into consideration?
باطو بلغيد ديالو، عفاك.,"The boat to Tangier, please."
