english,darija
"Well done, always at the top, the only thing missing is listing all the ingredients at the beginning. Thank you","Bravo toujours au top < a href = "" UCkszU2WH9gy1mb0dV - 11UJg / JAJ1XpGpJYnW8wTupZu4Cw "" > < / a > il manque juste de lister tout les ingrédients au début . Merci"
"My dear sister Halima, you are precious. I am struggling, my Muslim brothers. Help me with a can of milk that costs 10 dirhams. My baby girl is dying of hunger. Come see with your own eyes, by God, you will cry with us. I will work for you as a housekeeper, washing dishes. I will take care of the children, if only you help me. I hope to find an association that will provide me with milk and medicine, otherwise the disease will kill me. Expenses and work, we don't even have someone to bring us bread. I'm tired of looking for a job, but no one has mercy on us. I beg you, save this girl, consider her your daughter. Buy her milk and medicine. I only give her tea in a bottle. She has become very sick. For the sake of God, don't ignore me. Help me even with a prayer. I can't even afford a potato. God is high and knows. Anyone who wants to see our situation can call me for a video or come to our place. Welcome. I created Instagram just to look for halal work to live with my children. I am oppressed by time, high prices, and the path of haram is not for me. I want to do any halal work.",ﺧﺘﻲ ﺣﻠﻴﻤﺔ ﻟﻌﺰﻳﺰﺓ ﻧﻤﺘﻲ ﻓﻮﻙ ﺍﻧﺎ ﻣﺰﺍﻭﻛﺔ ﻓﻴﻜﻢ ﺧﻮﺗﻲ ﺍﻟﻤﺴﻠﻤﻴﻦ ﻋﺘﻘﻮﻧﻲ ﺑﻄﺎﺳﺔ ﺣﻠﻴﺐ ﻛﺪﻳﺮ ﺩﺭﻫﻢهم ﺑﻨﺘﻲ ﺭﺿﻴﻌﺔ ﻛﺘﻤﻮﺗﻠﻲ ﺑﺠﻮﻉ ﺍﺟﻴﻮ ﺷﻮﻓﻮ ﺑﻌﻴﻨﻴﻜﻮﻡ ﻭﷲ ﺗﺎ ﺗﺒﻜﻴﻮ ﻣﻌﺎﻧﺎ ﻧﺨﺪﻣﻠﻜﻢ ﻣﻴﻨﺎﺝ ﺗﺼﺒﺎﻥ ﻃﻴﺎﺏ ﻧﻘﺎﺑﻞ ﻟﻮﻻﺩ ﻟﻲ ﻛﺎﻥ ﻏﻲ ﻋﻮﻧﻮﻧﻲ ﻧﻠﻘﺎ ﺷﻲ ﺟﻤﻌﻴﺔ ﺗﺘﻜﻠﻔﻠﻲ ﺑﺤﻠﻴﺐ ﻭﺩﻭﺍﺀ ﻟﻐﻼ ﺍﻟﻤﺮﺽ ﻟﻜﺮﻳﺪﻱ ﺍﻟﻤﺼﺎﺭﻑ ﻭﺍﻟﺨﺪﻣﺔ ﻣﻜﻴﻨﺎﺵ ﻣﻌﺪﻧﺎ ﺗﺎ ﻟﻲ ﺩﺧﻞ ﻋﻠﻴﻨﺎ ﺧﺒﺰﺓ ﻋﻴﻴﺖ ﻧﻘﻠﺐ ﻋﻠﻰ ﺧﺪﻳﻤﺔ ﻭﺍﻟﻮ ﺗﺎ ﺣﺪ ﻣﻌﻘﻞ ﻋﻠﻴﻨﺎ ﻛﻨﺘﺮﺟﺎﻛﻢ ﻋﺘﻘﻮ ﻫﺎﺩ ﺑﻨﻴﺔ ﺣﺴﺒﻮﻫﺎ ﺑﻨﺘﻜﻢ ﺷﺮﻳﻮﻟﻬﺎ ﺣﻠﻴﺐ ﻭﺩﻭﺍﺀ ﻛﻨﻌﻄﻴﻪ ﻏﻲ ﺍﺗﺎﻱ ﻓﺮﺿﺎﻋﺔ ﻣﺮﺿﺎﺗﻠﻲ ﺑﺰﺍﻑ ﻭﺟﻪ ﷲ ﻣﺘﺘﺠﻬﻠﻮﻧﻴﺶ ﻋﻮﻧﻮﻧﻲ ﻏﻲ ﺑﺪﻋﺎﺀ ﺣﺒﺔ ﺑﻄﺎﻃﺎ ﻣﻨﻜﺴﺒﻬﺎﺵ ﺭﺑﻲ ﻋﺎﻟﻲ ﻭﻋﺎﻟﻢ ﺁﻱ ﺑﻎ ﻳﺸﻮﻑ ﺣﺎﻟﺘﻨﺎ ﻳﺼﻮﻧﻲ ﻓﻴﺪﻳﻮ ﺍﻭ ﺟﻲ ﻋﺪﻧﺎ ﻣﺮﺣﺒﺎ ﺩﺭﺕ ﺍﻧﺴﺘﻜﺮﺍﻡ ﻏﻲ ﺑﺎﺵ ﻧﻘﻠﺐ ﻋﻠﻰ ﺧﺪﻳﻤﺔ ﺣﻼﻝ ﻧﻌﻴﺶ ﻭﻟﻴﺪﺍﺗﻲ ﻗﻬﺮﻧﻲ ﺯﻣﺎﻥ ﻭﺍﻟﻐﻼﺀ ﻭﻃﺮﻳﻖ ﻟﺤﺮﺍﻡ ﻣﺎﺷﻲ ﺩﻳﺎﻟﻲ ﺑﻐﻴﺖ ﻧﺨﺪﻡ ﺍﻱ ﺷﻲ ﺣﻼﻝ ﺍﺅﺛﺲ
"Here are some easy sauces for Ramadan, sister Halima:",Chi momlahat sahela dramadan 3afak akhti Halima
"Hello girls, whoever wants to register with Oriflame is welcome. You can work from your home and using your phone.",Slm lbnat li bghat tsjal f oreflame mrbha biha tkhdmi ghi fdarak o mn telfonk
"Hello Mrs. Halima Elfilali, we respect you a lot and we love your cooking and your recipes. You know, people have nothing to do. I'm talking about those who are sick. Forget about them and focus on your project. May God help you and protect you.",Salam Mme Halima elfilali on te respecte bcp et on adore ta cuisine et tes recettes tu sais les gens n ont rien à faire moi je parle de ceux qui sont malades oublis les et concentré toi sur ton projet allak i Koné mrake et hafdek
"Msimnat are always bringing us new and interesting things. Thank you, I will try them, God willing.",Msimnat wa3rin dima katjibina ljadid chokran ghadi njarabhom inchaa llah
"May God protect you, God willing 👍👍🤲🤲🤲💞💞💞🇲🇫🇲🇦",Allah hafdak incha & # 39 ; Allah 👍 👍 🤲 🤲 🤲 💞 💞 💞 🇲 🇫 🇲 🇦
"Sister Halima, don't keep buying clothes
Shame on you, hide yourself a little
There are people who don't have any
May God make it easy for you, that's good.",Khti halima ma tb9aich twrey tabla < br > Hchouma stry chwiya rassk < br > Ra kain lima3andouch < br > Lah issahal 3lik dacchi zwin .
"I love you so much, Halima.",❤ ❤ ❤ ❤ ❤ Kanhma 3lik halima
"Thank you, my love. May Allah reward you with goodness. In Allah's care. 👍😘♥️🌹🫶",Chokrane hbibti jazakallah Kheirane fi ri3ayati allah 👍 😘 ♥ ️ 🌹 🫶
"I adore you, madam. I am Algerian. I respect you enormously, absolutely. There are people who do harm. Allah is sufficient for me and He is the best Disposer of affairs.",Je vous adore madama je suis algerienne je vous respecte enormément tout a fait ya des gents qui fond du . Mal hasbiya allah wa ni3ma wakil
May God give you health.,Lah y3tik sah
"You're just interfering in things that don't concern you, and you're only causing damage, except for people who insult and swear at others and put them down.",Hta ana dakhla mih kan kishabli dialk mé la 3ala9a fih ghir tkharbi9 apart nas li kisaybo chhiwat okihatohom
Great,Super
"Thank you, my sister. May God protect you.",Tbarkalah 3lik akhti llah ihafdak
"Please, since I bought it, the owner hasn't answered me.",O3afak min chriti lmoul zwin jawebini 3afak
"God willing, I will fast in Ramadan.",Wach raydoz fi ramadan incha alah
May Allah grant you success.,Machallah Allah yfadak 👍 👍 👍
Almost perverted 😂 May God grant you health ❤️,"< a href = "" https : / / www . youtube . com / watch ? v = zXyqvnXL2ug & amp ; t = 1242 "" > 20 : 42 < / a > ﺷﺒﻪ ﻣﻨﺤﺮﻑ 😂 ﷲ ﻳﻌﻄﻴﻚ ﺍﻟﺼﺤﺔ ❤ ️"
"Hello, may God bless you, he just threw the quantities in the prescription box, thank you, it made it easier for me to see the prescription, who agrees with me?","Slm de , tbarek alah alik , gir howa walaftina lmakadir fi sondouk lwassf , chojran lik , ana tayssahel alia nchouf lwassfa , chkoun bhali ? ? ? ? ? ? ? ?"
May God guide His creation.,Dimaa halimaa filali Laah yhdi makhl9
Can I replace the fino flour with thin flour? Please answer me.,Wach momkin nbdl lfino bsmida r9i9a jawbini 3afak
"We were told that for people living abroad, they don't find much food.",Dirilina slo bnsba nas li3aixin f5arij makl9awx bzaaf ma9dir
"Translation:
Thank you, sister Halima. I tried it yesterday when you posted it. It came out great. My children loved it. May God grant you health.",Tbarkalah 3lik khti halima jarabtha lbara7 ki hatitiha dartha jat wa3ra bnina ô fazga Man ldakhal lah ya3tik sa7a
God bless you.,Tbarkalah machalah 3lik 👍 ❤ ️
"Please, sister Halima, instead of jam, can I put honey????",3afak khti Halima blast confiture ndiir l3ssel ? ? ? ?
"Thank you, my sister Halima. May God reward you with goodness. 🥰 🥰",Tbarkalah 3lik akhti Halima lah yjazik bikhir 🥰 🥰
"You made me laugh, my sister. This is so beautiful.",Tbrklah 3lik akhti hadchi 3and zwin
Hello,Hi
"Thank you for the recipe, we will try it God willing 🌹🌹🌹🌹🌹",Chokran 3la lwsfa njrboha incha & # 39 ; Allah 🌹 🌹 🌹 🌹 🌹
Welcome to my channel. It has great recipes and this is the link https://www.youtube.com/channel/UC5q-wk9SInUbr2f1p_nISWQ,"ﻣﺮﺣﺒﺎ ﺑﻜﻢ ﺑﻘﻨﺎﺗﻲ . ﻓﻴﻬﺎ ﻭﺻﻔﺎﺕ ﺭﻭﻋﺔ ﻭﻫﺪﺍ ﺍﻟﺮﺍﺑﻂ < br > < a href = "" https : / / www . youtube . com / channel / UC5q - wk9SInUbr2f1p_nISWQ "" > https : / / youtube . com / channel / UC5q - wk9SInUbr2f1p_nISWQ < / a >"
"May God bless you and grant you goodness, my sister.",tbarklah 3lik lah ikaml blkhir khati
"Hello sister Halima, a big hello to you 🤗 Is it possible to use pastilla sheets, will they also give the same result?",Salam khti halima tahia lik kabira 🤗 wach momkin ndiro wara9at basstila wach hata hia tji bha nafs natija
Always on top 🎉 🎉 🎉,Dima tooooop 🎉 🎉 🎉
"I was actually subscribed to it thinking it was you, then I saw that rudeness in it and left it since I was sure it wasn't you. May God help you.",ﻓﻌﻼ ﻛﻨﺖ abonné ﻓﻴﻬﺎ ﻋﻠﻰ ﺃﺳﺎﺱ ﺍﻧﺖ ﻣﻦ ﺑﻌﺪ ﺷﻔﺖ ﻓﻴﻬﺎ ﺩﻳﻚ ﻗﻠﺔ ﺍﻷﺩﺏ ﻭﺧﺮﺟﺖ ﻣﻨﻬﺎ ﺣﻴﺚ ﻛﻨﺖ ﺃﻛﻴﺪﺓ ﻣﺎﺷﻲ ﺃﻧﺖ ، ﺃﻋﺎﻧﻚ ﷲ
Hello Halima! Good job! You are a great professional!,Hola Halima ! Buen trabajo ! Eres una gran profesional ! 👍 👍 👍
"May God bless her, I follow her a lot.",Saraha tbarkalah a3liha ana mtab3aha bazaf
I'm sorry. Please speak properly. My sister is pregnant.,Tbklkh . 4lik . kheti . Haluma
"I called you, my sister, about tiramisu, and you didn't answer me. I hope you answer me.",Kant tlabtak akhti 3la tiramiso omajawbtinich kantmna tjawbni
"Hello, what is the name of your blender?",Salam Sltp cet quoi le not de votre mixseure
"God bless you, well done!",Tbarkalah 3lik machaalah
"Hello sister Halima, God bless you my sister. The pastries turned out very beautiful, my daughter and her husband loved them. May God protect you from the evil eye of humans. ❤",Salam khti halima macha allah alik akhti fataér jaw raw3a banti orajli klaxhom llah ybaadek man ain bona Adam ❤
God has willed your goodness ❤ ❤,Mashallah 3lik ❤ ❤
"They sent them only Halima, but they're pulling her with force and hostility.",saaaafi b9at lihom ghiir halima baz bl3aani kayjbdoha baza
What kind of flour did you use?,Achmn naw3 dyl d9i9 lidrti
"I'm with you and you are the best, Thya. You saw Halima. 👏 👏 👏 👏 👏 👏",Ana m3ak we nti ahsan thya nti chaf halima 👏 👏 👏 👏 👏 👏
"Hello sister Halima, I don't have honey. Should I store the cocoa cookies in the fridge?",Salam akhti halima makaynjhlich l3sl wach nkhb3 lbriwat dkawkaw flfrigo
"I tried them last night, they were amazing. God bless you Halima and thank you so much ❤",ﺟﺮﺑﺘﻬﻢ ﺍﻟﺒﺎﺭﺡ ﺑﻠﯿﻞ ﺟﺎﻭ ﯾﻬﺒﻠﻮ ﷲ ﯾﻌﻄﯿﻚ ﺍﻟﺼﺤﻪ ﺣﻠﯿﻢۃ ﻭﺷﻜﺮﺍ ﺑﺰﺍﻑ ❤
"You are a respectable woman and you do an excellent job, all your recipes are successful. Keep up the good work and may God protect you.","Vous êtes une femme respectable et vous faites un excellent travail , toutes vos recettes sont réussies . Bonne continuation et que Dieu vous protège ."
"I'm on the roof. I don't know how many times I've made msemen. You won't believe me. I didn't know how to make it. At home, everyone knows how to make it, but when I try all the recipes, they work for me. Thank God I learned a lot from you. May God keep you for us and grant you success. ❤",Ana Fi Sarah cha7le Mn mra kndire msmn mksd9ch Liya mkntch kn3rf lih wafi dar 3andna koulchei kadrou walkin mli knjrbe ga3 wasfat tou3k kasd9ou liya bzf hmdoulh ta3lmte bzf mnk lah 5alik lina ourbi waf9k ❤
"Hello, God bless you. Instead of almonds, you can use ground hazelnuts. Thank you for your confirmation.",Salam tabakallah et machallah a la place des amandes ou peut des moisettes moulues et merci pour votre confirmation
"I tried, my dear. May God give you health.",Jaarabto ja ghazal Lahe ya3yik saha
"The girls, when will the program start?",Lbnat imta radi ybda lbarnamj
"Sister Halima, please take the pots and pans, and when you're done, make us some cola. That's it, because I'm feeling dizzy.",Khti Halima wli 7ti lma9adir w3afak la9drti diri Lina kola wsafi bo7dha rah kandokho
May God grant you success and always be with you to help you 🤲🏼🤲🏼😘😘😘,Lah iwef9ek o y3awnek ehnaya dima m3ak 🤲 🏼 🤲 🏼 😘 😘 😘
"God bless you, sister Halima.",Tbarklah 3lik a5ti halima
May God give you health ❤ 🇲 🇦 ❤ 🇲 🇦 ❤ 🇲 🇦 🙏,ALLAH I3TIK SAHA ❤ 🇲 🇦 ❤ 🇲 🇦 ❤ 🇲 🇦 🙏
"Thank you, sister Halima. May God give you health. I really like your recipes a lot.",Tbarkalah 3lik khti halima . lah ya3tik saha . ana kaya3ajboni . bazaf wasafatak .
"I apologize, but ""jjjhgfgvv"" is not a valid word or sentence in the Moroccan language (Darija). It appears to be a random string of letters and does not have a meaningful translation in English.",jjjhgfgvv
May God prevail over them.,Allahe ighalbake aalihoum
The dough should be leavened twice for 9 minutes each time.,NI3MA ZWINA 3afak wach l3jina khas nkhemroha 2 merate 9 bel manguerssoha ?
"I'm going to YouTube and I'll come back to you, Halima, my teacher and my inspiration in cooking.",Kandor tana3ya fal yotub okanarja3 al asa kjti halima mm o3alimari wa molhimati fatabkh
Let's go visit my sister Halima again.,Bach n3awdo napaj 5ti halima
May God heal him and help you through this.,Lah ychafih rabi y3awnek 3lih
"May God grant you success, my friend. I am always with you, may God protect you.",Alah wfa9lk dstahl Ana dima m3ak alah wga9
"May God protect you. Don't let other people decide what you should or should not do. Keep posting on Instagram and Facebook. These are also channels where a lot of young people go to. If you stop posting, these pathetic losers will win. Do your thing. And the people who believe the negative page is yours are really, really very stupid. May God protect you ❤️❤️❤️",Rabi je77efdek . Don ’ t let other people decide what you should or should not do . Keep posting at instagram and facebook . These are also channels where a lot of young people go to . If you stop posting them these pathetic losers will win . Do your thing . And the people who believe the negative page is yours are really really very stupid . Rabbi je77efdek ❤ ️ ❤ ️ ❤ ️
"Hello sister Halima, you make us a lot of tarts and brownies and quiches, may God bless you, you're the best.",Salam khti halima katri lina bazaf man les tartes obrawniz oles kiches tbarkalaha 3lik toop
"Translation:
God bless you, my sister. I learned a lot of things from you. I swear, anything I want to cook, I take from you. It always turns out great.",Tbarekalah 3lik kheti ana te3alamet manak bazaff dyal hewayaj walah aya haja bagha tayabha kane nakhodeha mane 3adak kateji zwina
Where do you get the paper from?,mnin katakhdi lwar9a
I am 1 ❤,Ana 1 ❤
"My sister Halima, don't stand in line on Facebook. There are many people following you, friends. *kiss sound*",La akhti halima matw9fich sfha flfays kaynin nas bzaaaf mtb3inak shab * 6
"I'm crazy about you, I love you, I'm always with you, my sister Halima.",Nmout 3lik ana nabrik ana ana m3ak dima akhti halima
May God protect you and light your path.,LLah yehafdak u nawar deri9k
"Hello, my sister Halima. How are you? May God protect you.",Salm akhti halima hatili ma kadir salou lah yahafadak
"I don't want to disrespect you, my opinion of you is positive. Personally, I don't believe any bad things about you.","Ntina ghaaaaanya 3la ta3rif mhtarma , ra9ya mta9fa Ana chakhsiyan mantiya9 hta haja 3lik 9biha"
I learned how to cook from her on YouTube.,Ahsan whda t3lmt mn3ndha tabkh flyoteb
Well done!,machaalah 3lik
"You made me crave banana zalabiya, my dear.",Tbrklah 3lik hbibti ntmana dirina zlabiya dyal banana
May God protect you.,Ita9i allah
"Sorry, too exaggerated, thanks.",Désolé tros exagéré merci
May God bless you and grant you success 😘,Tba3kelah 3lik laywef9ek oykemel 3lik 😘
ممتاز ورائع، شكرا على الوصفات.,"Excellent and amazing , thanks for the recipes ."
"May God grant you health, everything is great ❤❤",Lah i3atik sah kolchi fmostaw ❤ ❤
"You're exaggerating a lot, you have so many certificates, you're always following us, may God increase your goodness, you taught us a lot, God be with you.",Nti bazaf 3lihom bzafff chahadat ha9 dima mtab3inak lah ikatar khurak 3alamtina bzfff rabi m3ak
Well done 👍,Bravo 👍
Nta aḥsan waḥed,You are the best
I can make this dough a little smaller.,N9dr ndir bhad l3jina kich sghar
"Wow, I loved your cooking, it was delicious!",Bravooo hbiite tabkh mne andk olah
"My sister Halima, here we only know one Halima Filali, so let them come and run, they won't give anything. My sister, I consider you a great chef. Thank you very much, my sister Massira. Agreed.",Khti hlima hna kn3rfo wahd halima filali fa9at khlihom iyaw myjriw mydo wlo akhti ana kn3tbrk akbar chaf ﺷﻜﺮﺍ ﺟﺰﻳﻼ ﺃﺧﺘﻲ ﻣﺴﻴﺮﺓ ﻣﻮﺍﻓﻖ
"I love you Halima, I'm crazy about you","Je t & # 39 ; adore Halima , nmoute a3lik"
"May God bless you, Auntie Halima. She was happy to see you today (Sunday in Borj). I wanted to come to you, but I was with my family, so I left you in peace. May God bless you.",Lalla halima lghezala tbarakalh 3lik Chafak lyom ( dimanche f borj ) faraht mli Chafatk kont anji 3ndk mais konti en famille khalitk tranquille tbarakalh 3lik
"I'm looking for clothes like this, but I've been searching for a long time and can't find any. 😢",Ana kan9leb 3la lmale7 li b7al had chkel 3yit n9leb walo 😢
"Come on, let's go",Tarklah < br > Rlik
Gazelle,Ghzala
"Thank you for sharing, but it's a bit early for the preparations 😊",Merci pour le partage mais c ’ est un peu tôt pour les préparatifs 😊
"I love you, my love. Keep going!","I love you , Haloomaa . Keep going ! 🥳 😘 🥰 😍"
"God give you health, Lalla Halima. Regarding the one who wants to make them and keep them in the freezer, how is the frying method? Should I take them out of the freezer and put them in hot oil?","Allah ya3tik seha lalla Halima , bnesba li bgha ydirhoum w ykhallihoum fl moujammid , kifach tarikat al kaly , wach men l moujammid nlouhouhoum f zit skhouna"
"Bravo Ms. Halima. This is the first time I'm making a comment. It's to tell you that you are a Great Lady, you command respect and it's not a handful of imbeciles that can tarnish the image you reflect through your respectable work.
Go to court to educate these lowlifes
Please give me a sign that you have indeed seen my comment
I say to you ""HATS OFF"" dear Madam","Bravo lalla halima . C la 1ère fois que je fais un commentaire . C pour vous dire que vous êtes une Grande Dame , vous forcez le respect et que ce n & # 39 ; est pas une poignée d & # 39 ; imbeciles qui peut ternir l & # 39 ; image que vous refletez à travers votre respectable travail . < br > Allez en justice pour éduquer ces minables < br > Prière de me faire un signe que vs avez bien vu mon commentaire < br > Je vous dis & quot ; CHAPEAU BAS & quot ; chére Madame"
God has willed it good.,Masayallah good
"Thank you, may God protect you.",Tbarkallah alik allah ihafdak
"Thank you, you're always top as usual 👍 👍 👍 👍 👍",Tbarkalah 3lik dima top kima l3ada 👍 👍 👍 👍 👍
"May God give you health, sister Halima. You're the only one whose recipes always work out for me. Thank God I'm following you and staying safe from corona. ❤ ❤ ❤",Llah y3tek saha khti halima la seule li dima lwasafat dyalha kaysd9oli hamdollah mn korona wana mtb3ak ❤ ❤ ❤
"May Allah protect you from their evil, for He is the All-Hearing, the Forbearing.",Llah yakfik eyahom wahowa samiho elhalim
Everything is going well for you.,Tbrklh 3lik kolchi mtwele
"Hello sister, did you not have lunch?",Slm khti madirtich lgouza
"You are dear to us, a respectable person.",Enti 3ziza e3lina inssana mohtarama
Thank you.,Macaalah . Merci
"God will suffice them, the dogs bark but the caravan moves on.",Les chiens aboient la caravane passe Llah ykafihoum
"Frankly, you're becoming classier and classier
Really a very classy woman
I hope you will always remain faithful to this level",Franchement tu deviens de plus en plus classe < br > Vraiment une femme très classe < br > J & # 39 ; espère que tu restera toujours fidèle à ce niveau
"Thank you, sister Halima. Your recipes are delicious. God bless you.",Chokran khti Halima wasafatek kaysad9o tbarkallah aalik
"Hello, peace be upon you my dear ❤ Happy Ramadan 🎉 🎉 🎉 ❤ ❤ I greet you from Barcelona",Salam mo3likom aziin tbarkalah a3lik ahbibati ❤ ramadan karim 🎉 🎉 🎉 ❤ ❤ kansalam a3lik Man Barcelona
"Hello Auntie Halima, you need to show this in every video you post. Just a little reminder that you have nothing to do with the other channels. You are an admirable woman, may God protect you and your family.","Bonjour lala Halima il faut que tu montinne ca a chaque video que tu poste . juste un petit rappel que tu n & # 39 ; a rien avoir avec les autres chaines < br > Tu es une femme admirable , que dieu te protége toi et ta famille"
"Here's the English translation:

They're better than each other, I'm going to ask for her recipes.",Ahsan wahda ba3da ana kisad9o lia wqsafat dialha
God bless you for the first comment ❤️,Tbrkllah 3lik awel cmmnt ❤ ️
"Make us stuffed mlawi, my sister Halima, please. They should be tasty in the frying pan.",Diri lina mlawi m3emerine akheti Halima 3faki ykouno taytibo flme9ela
"Block this person, please. May God protect you, my sister. We know it's not you, I swear to God. May God keep evil people away from you and us.",Bloqotoni jhhh < br > Llah yhfdek a 5ti hna 3rfnak mashi nti wllah o llah yb3d 3lik o 3lina shar l5al9
What is casher? This word means in Hebrew halal suitable for consumption by Jews. Rather say black puddings or small liver pâtés with herbs and spices.,C est quoi la casher ? ? ? ce mot signifie en hébreu halal convenable à consommer pour les juifs . < br > Dites plutot des boudins ou des petits pâté de foie aux herbes et epices .
"God bless you, my dear, you deserve all the best.",Tbarkalah 3alike a habiba tastahali kole khire
"Sister Halima, is it harmful for a pregnant woman to eat plums? Please answer me, sister.",Khti halima wach slo m3ndo ta darar lmra lhaml 3fak akhti jawbni
"I entered a group on Facebook using your name and indeed lately there were some irrelevant topics in it, so I left the group.",Ana dkhalt wa7ad lgroupe f face bssmitak o fi3lan dernièrement chi mawadii3 laa 3ala9a fiih o khrajt mnno
Thank you,Barakallah w fik
"May God give you good health, you're the best!",Ya3tik saha top
God has willed it.,Macha allah 🥰 🥰
May God take away their right.,Llah yakhod fihom el ha9
"Sister Halima, I am in Africa and we have cashews available. Is it possible to use them in couscous?",Khti halima ana f afrique 3andna kajo mojod wach momkin nasta3mloh f sello ?
"Oh, I see that group is showing up for me, but it seems that you're not the one who created it, even though it has your name and picture. Anyone who knows you will know that it's not yours.",Ah bsa7 kaytla3 liya Dak groupe ms bayna Machi nti Li dayra Wakha smitak O tswirtak olikay3rfak ghadi k3arf Machi dyalk
Thank you,Tbarkellah Alik
"Peace be upon you too, your mother's martabak must be delicious ❤ ❤ 👍 👍","Waaĺaikum salam wbt , nyumaķ adukkù làgì memɓuať martabaķ pasti enak ❤ ❤ 👍 👍"
"I know why that girl is upset, but I didn't understand what she was aiming for.",Xkon 3arfa 3lax dik kika wx hiya lihdfata wla mafhmtxi
"Congratulations, my love. You deserve it. I swear I cried with joy.",😚 💗 💗 💗 💗 💗 💗 mabrouk 3lik tstahli hbibti koul khir wllah ila bkit blfarhaaa
"Thank you, you're doing great.",Tbarkallah Macha 3lij
"Thank you, they look delicious. We need recipes like these.",Tbarkllah 3lik ghzalin < br > Me7tajin f7al had lwasafat
"Hi sister Halima, I also joined that group on Facebook, but now I'm leaving it.",Salam khti halima ana nit ndamit lhadak groupe flface daba nkhroj mno
"O Allah, bless.",Allahumaa barek
"Well done, good luck my sister Halima",Bravo bon courage ma soeur halima
"May God increase your likes, you are thinking of you a lot in your work, you are a very successful person, everyone is saying a lot, everything is great, you deserve more likes as you are giving from your heart here, you are loved by all people and you are skilled in everything, Chef Lalla Halima, you honor all Moroccans, Lalla Halima, the best artist, is amazing.",Lah yktr mn amtalk yarab fakourin bik b ton travail bzaf bzaf insana najiha bzaf koulouka bzaf koulchi machaalah tstahli daam lktir kima katate mn klbk hna mak koulouna habibat chaab w tabaka lmahera f koulchi chef lala halima katchrfi lmagariba koulouna lala halima lrzala lfna rawaa
"Come sit down, Achrifa.",jatk 9sha achrifa
May God complete it with goodness.,Lah ikmalik balkhiR
"I'm very happy for you, this is the success you deserve, not like these wonders we've started to see, congratulations to you.",Fraht lik bzzaf hadi hya l9anat litstahl machi bhal had l3jab li walina kanchofo mbrok 3lik
May God bless you.,Insana ra9ia tbarkallah 3lik
"I'll always follow you, all your recipes are always tried and tested, always top top top.",Kantab3ak dima kolo wasafat mjarabha dima top top top
Emmm,Emmm
"Good luck, ma'am. You are a wonderful person. Go file a complaint quickly to protect yourself. May God be with you, and we will support you.",Bon courage madame vous êtes une personne formidable allez portez plaintes rapidement de cette façon vous bous protéger hisbi yallah wa ne3malwakil
Is it possible to use whole wheat flour in sfenj? Please answer me.,Wach momkin nst3ml d9i9 lkamel fl9tayf 3afak jawbini
"Peace be upon you, sister Halima. I hope you're doing well. Please tell me the measurements for 2 kilograms because I want to make 2 kilograms but I don't know the exact measurements and quantities of each ingredient. Answer me, may God have mercy on your parents.",salamo3alikom akhti halima lhijazik bikhir golilna l9yas dyal 2kilo hit brit ndir 2kilo oma3rftch bdabt l9yas lma9adir dyal kol haja jawbini lh irhmlik lwalidin
May God give you health 😘,Lah i3tik seha 😘
"You're welcome, my friend. You are my official supporter.",Matstaslmich ahbiba nty Hiya Lmosanid rasmi DyaLii
I saw a video of you last night.,3fk sifti li fideo fil5as
"You are a good person. Be calm and whatever you do, do it well so you can succeed. People will not appreciate it, so stay away from them.",NTI . insana . tayiba . ohadga . o2ay . haja . dartiha . kandiha . katnjah . omra . onas . matadihach . fihom . khalik . manhom
May God have mercy on your parents.,D3moni f 9anti lah yrhm likom lwalidin
You are number 1 LALLA HALIMA 😘 😘 😘,tu es numéro 1 LALLA HALIMA 😘 😘 😘
"Here is the English translation:

My sister, please, I did it last year and it went well, but I didn't do it this year. I forgot about it, sister, I mean.",5ti 3afak ana dRtha l3am lifat ojatni 9asha kilhjR walakin madRtch l5l nsite ykon mnha a5ti z3ma
I want to cook,Chef sauhaila
The air is good!!!,L & # 39 ; air bon ! ! !
"Translation:
God bless you
May God help you, you deserve it",Tbarkalah llah 3lik < br > Llah y3awnak tstahli
"Here is the English translation:

Where is the bathroom?",Wach . kokli . howa . lhmam
"It's serious, may Allah guide His creation.",C ’ est grave allah yahdi makhla9 🇩 🇿 🇲 🇦 💗
"Do you have nothing to do, my sister?",Wli ma3ndoch 3jana khti ? ?
God bless you,Tabarkallah 3lik
"I've been doing it for a while now and it's causing me pain, may God make it better for her.",Slam ah akhti kandirha man chhal hadi warathali losti alah aykatar khirha
I love you from Libya (try to make mashed potatoes) <3,I LOVE Y FROM LIBYA ( TRY TO MAKE BTATA MBTNH ) & lt ; 3 \
"May God grant you success, my dear.",Machaallah rabi iwaf9ak habibti 🌹 🌹
"Hello, thank you very much for the recipe. Can you please provide the full recipe in the description box? The eggs and sugar are missing. Thank you.",Salam merci bq pour la recette wach momkin ta3tina la recette kamla 3afak f ﺻﻨﺪﻭﻕ ﺍﻟﻮﺻﻒ rah na9ess lbaid o sekkar . . . ﺷﻜﺮﺍ
God is sufficient.,Hasbia alah
